cantidad de nodos, ciclos de reloj 
20,364704.5
30,4427724
40,20267592
50,59596020.5
60,141877768.5
70,293257257
80,546522607.5
90,927944007.5
100,1490144559
110,2271394568
120,3326615122.5
130,4729544427
140,6575360381.5
150,9076527676
160,12820476420
170,16831034329
180,21102612084
190,26024781905
200,31996352667.5
210,39057804637.5
220,47225272194.5
230,56963385890
240,67795716504
250,80373197445.5
260,95035189545
270,112947558970.5
280,131419388932.5
290,152485663372.5
300,175496090032
310,203528034262
320,231984400066
330,263027792087.5
340,298301264315.5
350,335880795383
360,376955067746.5
370,421752033798.5
380,471987772477
390,525363405996
400,585604177516.5
410,649937197388
420,720281066750
430,794385311109
440,877328856092.5
450,964330622442
460,1055859375197.5
470,1157525457943.5
480,1261159571136
490,1376868177259
500,1495925972916.5
