cantidad de nodos, ciclos de reloj 
20,41383
30,485237.5
40,5100218
50,20475838.5
60,48903013
70,97564201
80,200552104
90,334250246
100,560150876.5
110,877179032.5
120,1312399897
130,1868194892.5
140,2439129204
150,2887646827.5
160,3204330546
170,3355594890
180,3501355336.5
190,3657541621
200,3843146160
210,4056842175.5
220,4302359184
230,4586831065
240,4909911559
250,5286697517
260,5709206246.5
270,6186572620.5
280,6717367720.5
290,7311344074
300,7981460485.5
310,8745121083.5
320,9572800345.5
330,10508463861.5
340,11537728162
350,12666919523
360,13871334972
370,15172357865.5
380,16593788822.5
390,18173793931.5
400,19902848734.5
410,21750502967
420,23737850789.5
430,26053289630
440,28395088755
450,30829128418.5
460,33501947113
470,36421222783.5
480,39437256164
490,42741130657.5
500,46238599834.5
