cantidad de nodos, ciclos de reloj 
20,216571.5
30,2142902.5
40,12322432
50,38736860
60,101984599
70,213203363
80,352320794.5
90,468492977.5
100,551110735
110,660177408.5
120,799112031.5
130,982541442.5
140,1227821400
150,1532889291
160,1913561922
170,2384042008
180,2941208974.5
190,3603745747
200,4385332529
210,5302119021
220,6360007110.5
230,7632715556.5
240,9094323580
250,10780171711.5
260,12636137673
270,14736443520
280,17191593003
290,19936848343
300,22913228473.5
310,26257136909
320,29994641005.5
330,34144787227.5
340,38724377128
350,43783564782
360,49258279735
370,55413754599.5
380,62020253422
390,69152929839.5
400,76959265865
410,85317771881
420,94209732014.5
430,103963475387.5
440,114317772770.5
450,125581692462.5
460,137723054093.5
470,150517978481.5
480,164418756641
490,179204881172
500,195049284659.5
