cantidad de nodos, ciclos de reloj 
20,272756.5
30,2873417.5
40,16824369.5
50,42209527.5
60,100838472.5
70,195107935
80,347075873
90,585971141.5
100,944873441
110,1440926530
120,2103251911
130,2990366481
140,4131607159.5
150,5565888666
160,7308810734
170,9465170647.5
180,12164889445
190,15728350910
200,20617816119.5
210,25436142361.5
220,30470241410
230,36349924959.5
240,43005652881.5
250,49587332238
260,51981638364
270,52102025841.5
280,52107986610
290,52112701196.5
300,52116635490
310,52120825038.5
320,52126964072
330,52131831623.5
340,52137026811.5
350,52142347042
360,52148060834.5
370,52153991966
380,52160273148
390,52167069251
400,52174292732.5
410,52181788218.5
420,52189645318.5
430,52197863052.5
440,52206485628.5
450,52215205450
460,52224328650
470,52234130025
480,52244441156
490,52255083326
500,52265818100.5
