cantidad de nodos, ciclos de reloj 
20,392714
30,4538898
40,20978306
50,62301535.5
60,149879285.5
70,307429321.5
80,582329159
90,971258378
100,1538246828
110,2339364722
120,3416368106.5
130,4784728044.5
140,6604623417.5
150,8946636762.5
160,11911819398.5
170,15274451330
180,19448891779.5
190,24428404417
200,30452010540.5
210,37548944178
220,37551198635.5
230,37554260428
240,37556881517
250,37559714270.5
260,37562802680
270,37566100491
280,37570652993
290,37575510051
300,37580738607
310,37586276771
320,37592178813
330,37598448435
340,37604404113
350,37610672871
360,37617313627
370,37624300788
380,37630762469.5
390,37637571027.5
400,37644824457
410,37652375903.5
420,37660106130.5
430,37668086168
440,37676487112
450,37689526210.5
460,37698633639.5
470,37708142401.5
480,37718448190.5
490,37729119762
500,37739985024
