cantidad de nodos, ciclos de reloj 
20,177457.5
30,1030106
40,3489676
50,9163632
60,20261986.5
70,40585029
80,74951621.5
90,140774152
100,215867183.5
110,329577721
120,472085096
130,662371616.5
140,908646496
150,1220843902.5
160,1621066552.5
170,2101955888
180,2679108658.5
190,3373220965
200,4192774105.5
210,5118241178.5
220,6196734651.5
230,7444281524
240,8887672361.5
250,10549206403
260,12416078522
270,14558101358
280,16946094659.5
290,19627503027.5
300,22628169467
310,26000173211
320,29719010270
330,34023414988
340,38609558631.5
350,43957317555
360,50922488233.5
370,57229122887
380,63823709513
390,71083277505
400,78810570571.5
410,87239031139
420,96218215658.5
430,105860920948
440,116042745157.5
450,127615552976.5
460,139982656632
470,151361896115
480,161611782964
490,170341460173
500,176493252273
